"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 12:36:18 GMT 2023","Wed Apr 12 12:36:20 GMT 2023","1409","test","conduit_test","TestSignIn","","","Sign in and sign out with valid user data",""
"passed","Wed Apr 12 12:36:07 GMT 2023","Wed Apr 12 12:36:11 GMT 2023","3855","test","conduit_test","TestRegistration","","","Sign up with invalid user data",""
"passed","Wed Apr 12 12:36:05 GMT 2023","Wed Apr 12 12:36:06 GMT 2023","860","test","conduit_test","TestRegistration","","","Sign up with already registered user data",""
"passed","Wed Apr 12 12:36:57 GMT 2023","Wed Apr 12 12:37:19 GMT 2023","22620","test","conduit_test","TestLoggedInUserPage","","","Deleting all created articles",""
"passed","Wed Apr 12 12:36:13 GMT 2023","Wed Apr 12 12:36:17 GMT 2023","4329","test","conduit_test","TestSignIn","","","Sign in with invalid user data",""
"passed","Wed Apr 12 12:36:24 GMT 2023","Wed Apr 12 12:36:24 GMT 2023","195","test","conduit_test","TestLoggedInMainPage","","","Checking page list traversal",""
"passed","Wed Apr 12 12:35:59 GMT 2023","Wed Apr 12 12:36:02 GMT 2023","3009","test","conduit_test","TestRegistration","","","Sign up with valid user data","Registered user:
Username: TesztElek
E-mail: test@elek.hu
Password: HJkksdfjdvb4"
"passed","Wed Apr 12 12:36:04 GMT 2023","Wed Apr 12 12:36:04 GMT 2023","98","test","conduit_test","TestRegistration","","","Checking sign up data stored in database",""
"passed","Wed Apr 12 12:36:27 GMT 2023","Wed Apr 12 12:36:27 GMT 2023","163","test","conduit_test","TestLoggedInMainPage","","","Listing all article titles","List of articles: 
Lorem ipsum dolor sit amet
In nisl nisi scelerisque eu
Urna nunc id cursus metus.
Egestas egestas
Laoreet suspendisse interdum
Nibh praesent tristique magna
Eget mi proin sed libero
Nunc lobortis mattis aliquam
Cras sed felis eget velit
Elementum facilisis leo vel fringilla
Mi eget mauris pharetra et
"
"passed","Wed Apr 12 12:36:33 GMT 2023","Wed Apr 12 12:36:40 GMT 2023","6862","test","conduit_test","TestLoggedInUserPage","","","Creating articles from csv file","Created articles:
Testarticle title1 ,Testarticle title2 ,Testarticle title3"
"passed","Wed Apr 12 12:36:45 GMT 2023","Wed Apr 12 12:36:51 GMT 2023","5693","test","conduit_test","TestLoggedInUserPage","","","Modifying article",""
"passed","Wed Apr 12 12:36:21 GMT 2023","Wed Apr 12 12:36:21 GMT 2023","590","test","conduit_test","TestPrivacyPolicy","","","Checking Privacy Policy","After clicking on 'Accept' button cookie panel disappears."
