"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 19:39:20 GMT 2023","Sun Apr 23 19:39:23 GMT 2023","3383","test","conduit_test","TestRegistration","","","Sign up with valid user data","Registered user:
Username: TesztElek
E-mail: test@elek.hu
Password: HJkksdfjdvb4"
"passed","Sun Apr 23 19:39:28 GMT 2023","Sun Apr 23 19:39:31 GMT 2023","3137","test","conduit_test","TestRegistration","","","Sign up with invalid user data",""
"passed","Sun Apr 23 19:39:26 GMT 2023","Sun Apr 23 19:39:27 GMT 2023","791","test","conduit_test","TestRegistration","","","Sign up with already registered user data",""
"passed","Sun Apr 23 19:39:39 GMT 2023","Sun Apr 23 19:39:39 GMT 2023","155","test","conduit_test","TestLoggedInMainPage","","","Checking page list traversal",""
"passed","Sun Apr 23 19:39:51 GMT 2023","Sun Apr 23 19:39:53 GMT 2023","2871","test","conduit_test","TestLoggedInUserPage","","","Modifying article","Original title: Testarticle title1
Modified title: 1eltit elcitratseT"
"passed","Sun Apr 23 19:39:35 GMT 2023","Sun Apr 23 19:39:36 GMT 2023","868","test","conduit_test","TestSignIn","","","Sign in and sign out with valid user data",""
"passed","Sun Apr 23 19:39:44 GMT 2023","Sun Apr 23 19:39:48 GMT 2023","3993","test","conduit_test","TestLoggedInUserPage","","","Creating articles from csv file","Created articles:
Testarticle title1 ,Testarticle title2 ,Testarticle title3"
"passed","Sun Apr 23 19:39:25 GMT 2023","Sun Apr 23 19:39:25 GMT 2023","78","test","conduit_test","TestRegistration","","","Checking sign up data stored in database",""
"passed","Sun Apr 23 19:39:56 GMT 2023","Sun Apr 23 19:40:02 GMT 2023","5425","test","conduit_test","TestLoggedInUserPage","","","Deleting all created articles",""
"passed","Sun Apr 23 19:39:41 GMT 2023","Sun Apr 23 19:39:41 GMT 2023","388","test","conduit_test","TestLoggedInMainPage","","","Listing all article previews and save to file","List of article previews: 
Title: Lorem ipsum dolor sit amet
About: consectetur adipiscing elit

Title: In nisl nisi scelerisque eu
About: ultrices vitae auctor eu.

Title: Urna nunc id cursus metus.
About: Id leo in vitae turpis massa.

Title: Egestas egestas
About: fringilla phasellus faucibus scelerisque

Title: Laoreet suspendisse interdum
About: consectetur libero id faucibus nisl tincidunt

Title: Nibh praesent tristique magna
About: sit amet purus gravida quis

Title: Eget mi proin sed libero
About: enim sed faucibus turpis in

Title: Nunc lobortis mattis aliquam
About: faucibus purus in massa tempor

Title: Cras sed felis eget velit
About: velit aliquet sagittis

Title: Elementum facilisis leo vel fringilla
About: est ullamcorper eget nulla

Title: Mi eget mauris pharetra et
About: A erat nam at lectus urna duis convallis

"
"passed","Sun Apr 23 19:39:37 GMT 2023","Sun Apr 23 19:39:37 GMT 2023","190","test","conduit_test","TestPrivacyPolicy","","","Checking Privacy Policy",""
"passed","Sun Apr 23 19:39:32 GMT 2023","Sun Apr 23 19:39:34 GMT 2023","1875","test","conduit_test","TestSignIn","","","Sign in with invalid user data",""
