"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 19:27:31 GMT 2023","Sun Apr 23 19:27:32 GMT 2023","405","test","conduit_test","TestLoggedInMainPage","","","Listing all article previews and save to file","List of article previews: 
Title: Lorem ipsum dolor sit amet
About: consectetur adipiscing elit

Title: In nisl nisi scelerisque eu
About: ultrices vitae auctor eu.

Title: Urna nunc id cursus metus.
About: Id leo in vitae turpis massa.

Title: Egestas egestas
About: fringilla phasellus faucibus scelerisque

Title: Laoreet suspendisse interdum
About: consectetur libero id faucibus nisl tincidunt

Title: Nibh praesent tristique magna
About: sit amet purus gravida quis

Title: Eget mi proin sed libero
About: enim sed faucibus turpis in

Title: Nunc lobortis mattis aliquam
About: faucibus purus in massa tempor

Title: Cras sed felis eget velit
About: velit aliquet sagittis

Title: Elementum facilisis leo vel fringilla
About: est ullamcorper eget nulla

Title: Mi eget mauris pharetra et
About: A erat nam at lectus urna duis convallis

"
"passed","Sun Apr 23 19:27:18 GMT 2023","Sun Apr 23 19:27:21 GMT 2023","3150","test","conduit_test","TestRegistration","","","Sign up with invalid user data",""
"passed","Sun Apr 23 19:27:35 GMT 2023","Sun Apr 23 19:27:39 GMT 2023","4414","test","conduit_test","TestLoggedInUserPage","","","Creating articles from csv file","Created articles:
Testarticle title1 ,Testarticle title2 ,Testarticle title3"
"passed","Sun Apr 23 19:27:14 GMT 2023","Sun Apr 23 19:27:14 GMT 2023","78","test","conduit_test","TestRegistration","","","Checking sign up data stored in database",""
"passed","Sun Apr 23 19:27:47 GMT 2023","Sun Apr 23 19:27:51 GMT 2023","4935","test","conduit_test","TestLoggedInUserPage","","","Deleting all created articles",""
"passed","Sun Apr 23 19:27:27 GMT 2023","Sun Apr 23 19:27:27 GMT 2023","193","test","conduit_test","TestPrivacyPolicy","","","Checking Privacy Policy",""
"passed","Sun Apr 23 19:27:22 GMT 2023","Sun Apr 23 19:27:24 GMT 2023","1876","test","conduit_test","TestSignIn","","","Sign in with invalid user data",""
"passed","Sun Apr 23 19:27:29 GMT 2023","Sun Apr 23 19:27:29 GMT 2023","172","test","conduit_test","TestLoggedInMainPage","","","Checking page list traversal",""
"broken","Sun Apr 23 19:27:42 GMT 2023","Sun Apr 23 19:27:44 GMT 2023","1863","test","conduit_test","TestLoggedInUserPage","","","Modifying article",""
"passed","Sun Apr 23 19:27:11 GMT 2023","Sun Apr 23 19:27:13 GMT 2023","2315","test","conduit_test","TestRegistration","","","Sign up with valid user data","Registered user:
Username: TesztElek
E-mail: test@elek.hu
Password: HJkksdfjdvb4"
"passed","Sun Apr 23 19:27:16 GMT 2023","Sun Apr 23 19:27:16 GMT 2023","802","test","conduit_test","TestRegistration","","","Sign up with already registered user data",""
"passed","Sun Apr 23 19:27:25 GMT 2023","Sun Apr 23 19:27:26 GMT 2023","923","test","conduit_test","TestSignIn","","","Sign in and sign out with valid user data",""
